Station ,2011,2012,2013,2014,2015,2016,Borough
Neck Rd ,4114,3834,3941,4033,4207,4354,Brooklyn
Neptune Av ,1794,1705,1749,1698,1807,1742,Brooklyn
Nevins St ,11708,11653,11468,11752,10896,10716,Brooklyn
New Lots Av ,6223,6214,6349,6626,7133,6855,Brooklyn
New Lots Av ,4255,4475,4785,5005,5244,5431,Brooklyn
New Utrecht Av ,5340,5883,5159,5270,5551,5602,Brooklyn
Newkirk Av ,7715,7604,7757,8015,8035,7840,Brooklyn
Newkirk Plaza ,9672,9890,10788,10707,10864,10842,Brooklyn
Norwood Av ,3366,3518,3492,3603,3639,3613,Brooklyn
Nostrand Av ,4069,4113,4151,4268,4306,4239,Brooklyn
Nostrand Av ,15868,16439,16843,17062,17790,18231,Brooklyn
Ocean Pkwy ,3314,3155,3141,3124,3203,3211,Brooklyn
Park Pl ,2259,2201,2077,1968,1922,1850,Brooklyn
Parkside Av ,6691,5729,4240,4969,5266,5524,Brooklyn
Pennsylvania Av ,5798,5696,5675,5718,6997,2485,Brooklyn
President St ,3754,3815,3969,4092,4120,4114,Brooklyn
Prospect Av ,6230,6147,5934,5943,5896,5842,Brooklyn
Prospect Park ,8557,9024,9761,9715,10033,9995,Brooklyn
Ralph Av ,5007,5175,5381,5570,5796,5801,Brooklyn
Rockaway Av ,5715,5636,5632,5735,1690,5122,Brooklyn
Rockaway Av ,4971,5089,5137,5223,5443,5678,Brooklyn
Saratoga Av ,5662,5697,5807,5933,8148,4006,Brooklyn
Sheepshead Bay ,13716,14083,14010,14118,14304,14477,Brooklyn
Shepherd Av ,2968,3034,3149,3263,3370,3393,Brooklyn
Smith-9 Sts ,1834,0,2854,4762,5084,4861,Brooklyn
Sterling St ,5755,5899,5915,5783,5802,5806,Brooklyn
Sutter Av ,4201,4437,4555,4675,4727,4688,Brooklyn
Sutter Av-Rutland Rd ,7621,7713,7831,8084,8031,6785,Brooklyn
Union St ,7010,6935,6528,6415,6599,6512,Brooklyn
Utica Av ,13977,14327,14673,15117,15674,16060,Brooklyn
Van Siclen Av ,3415,3431,3431,3438,989,4194,Brooklyn
