Station ,2011,2012,2013,2014,2015,2016,Borough
Ocean Pkwy ,3500,3542,3465,3167,3751,3597,Brooklyn
Park Pl ,2445,2397,2148,1958,2072,1903,Brooklyn
Parkside Av ,7245,6891,5426,6381,6387,6844,Brooklyn
Pennsylvania Av ,6085,4783,5577,5303,5902,2206,Brooklyn
President St ,3239,3395,3745,3255,3520,3204,Brooklyn
Prospect Av ,6449,6018,5806,5792,5240,4944,Brooklyn
Prospect Park ,11787,11561,12864,15404,14105,13301,Brooklyn
Ralph Av ,5750,6042,6391,6719,7162,6984,Brooklyn
Rockaway Av ,6228,4906,5802,5536,1777,4078,Brooklyn
Rockaway Av ,5246,5512,5616,5680,6136,6188,Brooklyn
Saratoga Av ,5583,4525,5451,5137,6568,3373,Brooklyn
Sheepshead Bay ,11217,11495,11712,11092,11984,11562,Brooklyn
Shepherd Av ,3241,3405,3408,3586,3669,3529,Brooklyn
Smith-9 Sts ,2068,0,3664,6001,6299,5391,Brooklyn
Sterling St ,5913,5932,6567,5705,6267,5869,Brooklyn
Sutter Av ,4299,4989,5279,5625,4488,4318,Brooklyn
Sutter Av-Rutland Rd ,7952,6469,7764,7490,6748,5547,Brooklyn
Union St ,8361,7627,7321,7992,7252,6713,Brooklyn
Utica Av ,16306,17320,18127,18822,19583,19318,Brooklyn
Van Siclen Av ,3529,2834,3388,3159,967,3205,Brooklyn
Van Siclen Av ,3232,3307,3351,3488,3718,3563,Brooklyn
Van Siclen Av ,3382,3393,3265,3562,3681,3663,Brooklyn
West 8 St-New York Aquarium ,3251,3427,3077,2967,3138,3175,Brooklyn
Wilson Av ,3551,4064,4745,5689,5011,4496,Brooklyn
Winthrop St ,5311,5287,6064,5481,5868,5327,Brooklyn
York St ,6794,7260,8672,8783,9691,12521,Brooklyn
Manhattan,,,,,,,
1 Av ,26919,30928,32724,35580,30185,32170,Manhattan
103 St ,17071,17810,18130,14644,15829,16603,Manhattan
103 St ,16972,16997,16793,17608,13014,13963,Manhattan
103 St ,5410,5599,5799,5947,5458,4817,Manhattan
110 St ,14111,13944,13682,14381,14497,14600,Manhattan
116 St ,13715,14810,14410,15500,15487,14435,Manhattan
116 St ,21024,20749,20263,20611,19593,19733,Manhattan
116 St ,7051,7647,8172,8287,7514,7077,Manhattan
116 St-Columbia University ,15481,16047,16166,13256,13547,13853,Manhattan
125 St ,9985,10889,11257,9469,9482,9797,Manhattan
125 St ,17393,18686,18547,20142,19311,17940,Manhattan
125 St ,30832,31873,33091,34840,34541,32501,Manhattan
125 St ,33401,34011,35998,38766,39729,38587,Manhattan
135 St ,16289,17351,17070,18837,17916,16887,Manhattan
135 St ,4985,5165,5516,5529,5036,4743,Manhattan
137 St-City College ,15799,16874,18805,14213,16107,16055,Manhattan
14 St ,47685,51356,55956,58298,59900,58605,Manhattan
14 St ,56932,58546,60933,64712,61431,59127,Manhattan
14 St-Union Sq ,143239,140855,144163,144539,143123,130777,Manhattan
